id,jpn,eng1,eng2,eng3,eng4,eng5,eng6,eng7,eng8,eng9,eng10,eng11,eng12,eng13,eng14,eng15,eng16,eng17,eng18,eng19,eng20,eng21,eng22,eng23,eng24,eng25,eng26,eng27,eng28,eng29,eng30,eng31,eng32,eng33,eng34,eng35,eng36,eng37,eng38,eng39,eng40,eng41,eng42,eng43,eng44,eng45,eng46,eng47,eng48,eng49,eng50,eng51,eng52,eng53,eng54,eng55,eng56,eng57,eng58,eng59,eng60,eng61,eng62,eng63,eng64,eng65,eng66,eng67,eng68,eng69,eng70,eng71,eng72,eng73,eng74,eng75,eng76,eng77,eng78,eng79
501,Ｌ;ｌ [エル] ,(n) L,l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,あのね(P);あのねえ;あんね;あのさ;あのさあ ,(int) (fam) (fem) look here,I say,well,I know what,I'll tell you what,just a minute,hold on,(P),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1501,おくびにも出さない [おくびにもださない] ,"(exp) not revealing (thoughts, feelings)",not breathing a word,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,お誕生会;御誕生会 [おたんじょうかい] ,(n) (See 誕生会) birthday party,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501,きゅうよ ,(n) (obsc) (uk) (See アルマジロ) armadillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3001,ごとり ,"(adv-to,adv) (on-mim) thump",clang,clank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3501,すすり泣く;啜り泣く;啜りなく [すすりなく] ,"(v5k,vi) to sob",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4001,"たちが悪い;タチが悪い;質が悪い [たちがわるい(たちが悪い,質が悪い);タチがわるい(タチが悪い)] ","(exp,adj-i) (ant: たちが良い) of bad character",ill-natured,nasty,vicious,wicked,malignant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4501,とうの昔;疾うの昔;当の昔(iK);唐の昔(iK);遠の昔(iK) [とうのむかし] ,"(exp,n-t) (See 疾っくの昔) a long time ago",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5001,にしては ,"(exp) for (e.g. ""she dances well for an eight-year old"")",considering it's (something or someone),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5501,ぴくんぴくん ,"(adv,adv-to,vs) (See ぴくぴく) twitching",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6001,またの名;又の名 [またのな] ,"(exp,n) alias",another name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6501,よぼよぼ ,"(adj-no,adj-na,vs,adv,adv-to) (on-mim) doddering",tottering,unsteady,shaky,decrepit,infirm,frail,feeble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7001,アイスブリッジ;アイス・ブリッジ ,(n) ice bridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7501,アクセス番号 [アクセスばんごう] ,(n) {comp} access number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8001,アット(P);あっと ,(unc) (See アットホーム) at,(P),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8501,アフルエンザ;アフルーエンザ ,(n) affluenza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9001,アルカリ長石 [アルカリちょうせき] ,(n) alkali feldspar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9501,アンプリファイアー;アンプリファイア;アンプリファイヤー;アンプリファイヤ ,(n) amplifier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10001,イメチェン ,"(n,vs) (abbr) (See イメージチェンジ) image change",changing one's image,makeover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10501,インデックスバッファ;インデックス・バッファ ,(n) {comp} index buffer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001,ウェッデル海豹 [ウェッデルあざらし;ウェッデルアザラシ] ,(n) (uk) Weddell seal (Leptonychotes weddellii),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11501,エイズワクチン;エイズ・ワクチン ,(n) AIDS vaccine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12001,エネルギー源 [エネルギーげん] ,(n) energy source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12501,エンドロール ,(n) credits roll (at the end of a show or movie) (wasei: endroll),end credit roll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13001,オールドローズ;オールド・ローズ ,(n) old rose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13501,オリーブ姫啄木鳥 [オリーブひめきつつき;オリーブヒメキツツキ] ,"(n) (uk) olivaceous piculet (species of bird, Picumnus olivaceus)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14001,カキパン;カキ・パン ,(n) heavy petting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14501,カラーチャート;カラー・チャート ,(n) {comp} color chart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15001,ガス管 [ガスかん] ,(n) gas pipe,gas tube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15501,キモグラフ ,(n) kymograph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16001,ギプス包帯 [ギプスほうたい] ,(n) plaster cast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16501,クリーンインストール;クリーン・インストール ,(n) {comp} clean install,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17001,クロロジフェニルアルシン ,(n) chlorodiphenylarsine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17501,グレースケール;グレー・スケール ,(n) {comp} grayscale,greyscale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18001,コートヤード ,(n) courtyard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18501,コマンドプロンプト;コマンド・プロンプト ,(n) {comp} command prompt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19001,コントラクター ,(n) contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19501,サーキュレーション ,(n) circulation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20001,サッドマック ,(n) {comp} Sad Mac (symbol used by older-generation Apple Macintosh computers),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20501,ザック ,(n) (See リュックサック) rucksack (ger: Sack),sack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21001,シックハウス症候群 [シックハウスしょうこうぐん] ,(n) sick building syndrome,SBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21501,ショルダー ,(n) shoulder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22001,ジメチルアミノ ,(adj-f) {chem} dimethylamino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22501,スイステレコム;スイス・テレコム ,(n) {comp} Swiss Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23001,スタッキングチェア;スタッキング・チェア ,(n) stacking chair,stackable chair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23501,スノーモービル ,(n) snowmobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24001,スラスター ,(n) thruster (e.g. on a satellite),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24501,セミダブル ,(n) (See セミダブルベッド) three-quarter bed (wasei: semi-double (bed)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25001,ソノリティ ,(n) sonority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25501,タックシート;タック・シート ,(n) label sheet (wasei: tack sheet),"paper, etc. adhesive sheet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26001,ダッファー ,(n) duffer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26501,チャネル間分離 [チャネルかんぶんり] ,(n) {comp} interchannel isolation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27001,テイスティング;ティスティング;テースティング ,(n) sampling food or drink,tasting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27501,データベース技術 [データベースぎじゅつ] ,(n) {comp} database technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28001,デキシー;ディキシー ,(n) (1) (col) Dixie,southern states of the USA,(2) (abbr) (See デキシーランドジャズ) Dixieland jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28501,トータルシステム;トータル・システム ,(n) {comp} total system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29001,トリニトロン ,(n) {comp} Trinitron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29501,ドライブ ,(n) (1) drive,trip by car,driving,"(vs,vi) (2) to (go for a) drive",to go on a trip by car,"(vs,vt) (3) to drive (e.g. a car)","(4) to drive (innovation, change, etc.)",to propel,(n) (5) {comp} drive,(P),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30001,ナローバンド ,(n) {comp} narrowband,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30501,ネグレット ,(n) Négrette (wine grape variety) (fre:),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31001,ノヴェライゼーション ,(n) novelization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31501,ハブ ,(n) hub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32001,バイブ;ヴァイブ ,"(n,vs) (1) vibe",vibration,(n) (2) (abbr) (See バイブレーター) vibrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32501,バラエティーショー;バラエティー・ショー ,(n) variety show,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33001,パシフィックスペードフィッシュ ,"(n) Pacific spadefish (Chaetodipterus zonatus, species of Eastern Pacific spadefish found from California to Peru)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33501,パワーリード;パワー・リード ,(n) power lead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34001,ビショップ ,(n) bishop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34501,ピエ ,(n) pied (fre:),bottom part of a macaron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35001,ファイル他者クラス [ファイルたしゃクラス] ,(n) {comp} file other class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35501,フェニルアラニン ,(n) phenylalanine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36001,フランクフルトソーセージ;フランクフルト・ソーセージ ,"(n) {food} (See フランクフルター) frankfurter (wasei: Frankfurt, wasei: sausage)",frank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36501,ブイシーシーアイ ,(n) {comp} VCCI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37001,ブロードバンドＬＡＮ [ブロードバンドラン] ,(n) {comp} broadband LAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37501,プレイヤー(P);プレーヤー(P);プレイヤ;プレーヤ ,(n) (1) player,(2) prayer,(P),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38001,ヘッディング開始 [ヘッディングかいし] ,(n) {comp} start of heading,start of header,SOH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38501,ベンケイソウ科;弁慶草科 [ベンケイソウか(ベンケイソウ科);べんけいそうか(弁慶草科)] ,(n) Crassulaceae (plant family),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39001,ホールケーキ;ホール・ケーキ ,(n) whole cake,cake sold whole (as opposed to in individual slices),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39501,ボクシングデー;ボクシング・デー ,"(n) Boxing Day (public holiday in the UK, Aus., Canada, etc.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40001,ポピュレーション ,(n) population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40501,マカロニグラタン;マカロニ・グラタン ,(n) macaroni au gratin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41001,マリガン ,(n) {sports} mulligan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41501,ミディスカート ,(n) midiskirt,midi skirt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42001,メガロ ,(n) megalo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42501,モーセの五書 [モーセのごしょ] ,"(n) (obsc) (See モーセ五書) Pentateuch (first five books of the Bible, traditionally attributed to Moses)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43001,ヤラメスゲ ,(n) Lyngbye's sedge (Carex lyngbyei),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43501,ライフサイクルエネルギー;ライフサイクル・エネルギー ,(n) life-cycle energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44001,ランウェイショー;ランウエイショー;ランウェイ・ショー;ランウエイ・ショー ,(n) (See ファッションショー) fashion show (on a catwalk) (wasei: runway show),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44501,リトマス紙 [リトマスし] ,(n) (See リトマス試験紙) litmus paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45001,ルームサービス ,(n) room-service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45501,レッドチークラス ,(n) red-cheek wrasse (Thalassoma genivittatum),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46001,ロケラン ,(n) (abbr) (See ロケットランチャー) rocket launcher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46501,ワンコインバス;ワンコイン・バス ,(n) 100-yen bus (wasei: one-coin bus),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47001,愛書 [あいしょ] ,(n) (1) great love of books,(2) favorite book (favourite),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47501,圧力抑制プール [あつりょくよくせいプール] ,(n) pressure suppression pool (nuclear reactor),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48001,鞍橋;鞍骨;鞍瓦 [くらぼね;あんが] ,(n) saddle tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48501,意余って言葉足らず [いあまってことばたらず] ,(exp) unable to find adequate words (e.g. to express feelings),being at a loss for words,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49001,衣魚虫 [しみむし] ,"(n) (obsc) (See 衣魚) true bristletail (any insect of order Thysanura, esp. of family Lepismatidae)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49501,一から [いちから] ,(exp) from the beginning,from scratch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50001,一次変換 [いちじへんかん] ,(n) {math} linear transformation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50501,一杯機嫌;いっぱい機嫌 [いっぱいきげん] ,"(n,adj-no) (yoji) slight intoxication",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51001,稲架 [はさ;はざ;はせ;はぜ;とうか] ,(n) (See 稲掛け) drying rice on a rack,rack for drying rice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51501,引用文 [いんようぶん] ,(n) {ling} quotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52001,宇宙塵 [うちゅうじん] ,(n) space dust,cosmic dust,interstellar dust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52501,運送船 [うんそうせん] ,(n) freighter,cargo vessel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53001,永禄 [えいろく] ,(n) Eiroku era (1558.2.28-1570.4.23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53501,円塚;丸塚 [まるづか;まるか(ok);えんちょう(円塚)(ok)] ,(n) round burial mound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54001,遠々しい;遠遠しい [とおどおしい] ,"(adj-i) distant (behavior, etc.)",reserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54501,往復機関 [おうふくきかん] ,(n) reciprocating engine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55001,王手をかける;王手を掛ける [おうてをかける] ,"(exp,v1) (1) to check (in chess)","(2) (id) to threaten (somebody's position, etc.)",to close in (on somebody),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55501,温厚 [おんこう] ,"(adj-na,n) gentle",(P),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56001,下手な鉄砲も数撃てば当たる;下手な鉄砲も数打てば当たる [へたなてっぽうもかずうてばあたる] ,(exp) (proverb) (See 下手な鉄砲も数撃ちゃ当たる) even the unskilled can succeed by a fluke given enough tries,even a poor marksman will hit the target with enough shots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56501,仮想デバイスドライバ [かそうデバイスドライバ] ,(n) {comp} virtual device driver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57001,加賀紋 [かがもん] ,(n) coloured family crest (popular amongst people from Kaga),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57501,家従 [かじゅう] ,(n) steward,butler,attendant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
